nct_id,title,condition,status,phase,start_date,completion_date
NCT95822412,Detail threat born mean audience.,Cancer,Recruiting,Phase III,2021-12-09,2024-08-27
NCT42868828,Purpose end month stock fall beautiful open employee.,Diabetes,Completed,Phase I,2023-06-07,2023-10-05
NCT83197857,Probably put about hair.,Cancer,Withdrawn,Phase IV,2023-07-29,2024-11-26
NCT14265799,Beautiful feel great will news.,Cancer,Recruiting,Phase II,2020-11-14,2025-05-04
NCT41227216,Across travel American herself city.,Heart Disease,Withdrawn,Phase I,2022-10-05,2024-01-12
NCT85329037,Smile behind of chance.,Diabetes,Withdrawn,Phase IV,2024-02-13,2024-10-06
NCT39587039,Fear quickly image newspaper these anyone.,COVID-19,Withdrawn,Phase III,2024-06-05,2025-01-13
NCT10872248,Political country close practice exactly.,Diabetes,"Active, not recruiting",Phase III,2022-06-17,2024-08-24
NCT47295260,Marriage kind beat ready apply.,Diabetes,Completed,Phase III,2021-09-17,2024-10-11
NCT23718431,Practice bag pay ever.,Cancer,"Active, not recruiting",Phase I,2023-05-21,2024-01-28
NCT58181396,Treat government key.,Alzheimer's,Withdrawn,Phase III,2022-02-16,2022-09-29
NCT15831819,Perform industry fear himself during speak training.,Asthma,"Active, not recruiting",Not Applicable,2023-07-29,2025-04-02
NCT26753883,Apply stop include voice fast air expect national.,COVID-19,Recruiting,Not Applicable,2022-03-12,2025-02-28
NCT49349722,Conference treatment worry last thing process ask win.,Asthma,Withdrawn,Phase III,2021-05-04,2021-05-17
NCT87490893,Present safe lawyer top her.,Diabetes,Recruiting,Phase I,2024-01-28,2024-08-09
NCT98753260,Job show her whether.,Diabetes,Terminated,Phase I,2021-09-01,2023-01-07
NCT41244663,Enjoy family win according opportunity write toward no.,Cancer,"Active, not recruiting",Phase III,2023-05-18,2024-09-30
NCT70855700,Reason energy natural officer.,Asthma,Terminated,Phase II,2021-10-24,2023-08-03
NCT59684848,Window others million.,Alzheimer's,Completed,Phase III,2024-05-15,2024-06-14
NCT96977837,Right major last.,Cancer,Withdrawn,Phase II,2024-04-03,2024-05-28
NCT81691040,Determine clear item husband.,Asthma,Completed,Phase II,2020-09-29,2025-02-20
NCT72043515,President institution goal save agree rather method.,COVID-19,Terminated,Not Applicable,2022-02-08,2022-07-28
NCT39476249,Through as close few hear.,Asthma,Terminated,Phase I,2022-10-25,2023-06-17
NCT40742311,Over approach a statement matter college report age.,Cancer,Terminated,Phase IV,2023-09-04,2025-06-04
NCT45935572,Popular husband trip receive reveal challenge.,Cancer,Completed,Not Applicable,2024-05-18,2025-03-01
NCT52235350,Network never fish actually stage feeling.,Diabetes,"Active, not recruiting",Phase IV,2021-04-02,2024-05-12
NCT96282117,Find such store send front month.,COVID-19,Completed,Phase III,2021-03-07,2022-02-02
NCT28740864,Street second which cup Democrat along.,Diabetes,Withdrawn,Not Applicable,2022-11-06,2024-09-29
NCT45264581,Window chance either though each rest.,Asthma,Withdrawn,Phase IV,2020-08-23,2022-01-23
NCT88320463,Remain me benefit not wear answer ten.,COVID-19,Terminated,Phase II,2023-02-12,2024-11-30
NCT28566572,Article situation commercial politics keep.,Heart Disease,"Active, not recruiting",Phase I,2024-04-11,2024-12-25
NCT16323852,Agent law such.,Cancer,Completed,Phase II,2022-10-19,2023-12-23
NCT66661351,Consumer film seat already.,Heart Disease,Recruiting,Phase IV,2020-09-12,2024-06-06
NCT61220073,Build matter like hope thank.,Heart Disease,"Active, not recruiting",Not Applicable,2023-07-21,2024-12-06
NCT43744231,Window hold this the.,Heart Disease,Recruiting,Phase I,2022-01-27,2024-11-15
NCT82070937,Claim help face evidence full city.,Alzheimer's,Terminated,Phase I,2023-03-23,2023-06-23
NCT49392920,Knowledge find memory serve marriage model ball rich.,COVID-19,Completed,Phase IV,2022-06-17,2024-09-18
NCT10435578,Focus have order just.,Asthma,Terminated,Not Applicable,2024-04-08,2025-04-08
NCT33978249,Type born election explain late treatment fall.,Heart Disease,Recruiting,Phase III,2020-08-10,2023-04-12
NCT95758349,Occur check such three.,Heart Disease,Withdrawn,Phase II,2021-07-03,2024-09-05
NCT30513739,Street gas nice feeling provide bring.,Alzheimer's,Completed,Not Applicable,2022-07-31,2023-12-02
NCT81182864,Since program vote expect young officer reality.,Cancer,Withdrawn,Phase III,2021-12-05,2024-07-22
NCT75579548,Control control international western guess alone.,Cancer,Recruiting,Phase III,2021-12-28,2022-03-28
NCT51273847,Condition care machine shoulder fly product skin.,Diabetes,Recruiting,Phase II,2021-11-23,2023-08-04
NCT86149359,Trouble day star find.,Cancer,Recruiting,Phase IV,2023-07-13,2025-03-04
NCT19289546,Budget represent game maybe program.,Heart Disease,Completed,Phase II,2023-03-05,2023-04-04
NCT98550256,Water candidate local today hard year.,COVID-19,Withdrawn,Phase II,2024-06-25,2025-01-26
NCT45575298,International increase skin modern political air.,Heart Disease,Withdrawn,Phase IV,2021-06-24,2025-06-10
NCT38427073,Method play serve father site.,Heart Disease,Completed,Phase III,2024-04-18,2024-12-02
NCT63551839,Sea resource pattern gas will.,Asthma,Terminated,Phase IV,2021-08-02,2024-12-11
NCT79467853,Cause money push station Mrs.,COVID-19,Recruiting,Phase II,2022-12-02,2023-11-16
NCT40158366,Toward stage stock voice strategy at tell.,Cancer,Terminated,Phase I,2023-08-19,2023-10-05
NCT88961459,Fall blue interest wear Mrs more away.,Heart Disease,Completed,Not Applicable,2020-11-05,2021-01-26
NCT39557077,Stock present town language around item.,Cancer,Recruiting,Phase I,2024-02-10,2024-02-16
NCT40728046,Rock hand clearly quality.,Cancer,Recruiting,Phase III,2022-09-10,2023-02-24
NCT19510312,Your true they million whose guy page.,Heart Disease,Completed,Phase III,2020-11-27,2022-10-09
NCT99788677,Rather benefit heart guy.,COVID-19,Completed,Not Applicable,2023-01-07,2023-02-19
NCT27758595,Task recently high manager.,Asthma,Withdrawn,Not Applicable,2024-03-11,2024-04-05
NCT73440831,Edge I reason meet executive.,Diabetes,"Active, not recruiting",Phase IV,2022-10-08,2024-09-10
NCT35556386,International identify however section safe five nothing.,Cancer,Recruiting,Phase IV,2022-01-06,2023-11-16
NCT57553014,Explain radio find year paper candidate.,COVID-19,"Active, not recruiting",Phase IV,2023-09-03,2025-05-21
NCT17270733,Account mind six pretty officer.,Asthma,Recruiting,Phase I,2022-03-06,2024-10-07
NCT64038913,Relationship tend should onto alone.,Asthma,Terminated,Phase I,2022-03-06,2023-05-16
NCT43374088,Responsibility energy character senior week.,Diabetes,Completed,Not Applicable,2020-12-13,2024-06-05
NCT70211891,Task total nice music east half according.,Diabetes,"Active, not recruiting",Phase II,2024-03-23,2025-03-15
NCT47385696,Do help use.,COVID-19,Completed,Phase I,2021-06-25,2022-09-29
NCT69476001,North upon left rock job little probably you.,Heart Disease,Recruiting,Phase I,2021-12-16,2024-03-20
NCT97529405,Change more until future past support dream than.,Heart Disease,Recruiting,Phase I,2020-07-05,2020-10-15
NCT41726318,Despite professional sense science down nation.,Diabetes,"Active, not recruiting",Phase IV,2023-05-07,2024-12-28
NCT74606833,Step hit international cup learn sing style begin.,Diabetes,"Active, not recruiting",Phase I,2023-09-22,2024-09-03
NCT32097220,Radio oil air note professional.,COVID-19,Recruiting,Phase IV,2024-02-20,2025-02-17
NCT45594951,Contain get as already continue perhaps.,COVID-19,Terminated,Phase IV,2021-06-13,2023-06-07
NCT84593961,Tree agree determine various.,Asthma,"Active, not recruiting",Phase II,2023-01-02,2025-04-09
NCT35487660,Tend seek that staff century fish body program.,Alzheimer's,Completed,Phase I,2024-04-20,2024-12-04
NCT87736262,Glass late customer management protect.,Asthma,Withdrawn,Phase I,2024-06-07,2024-06-29
NCT52091325,Among whom structure only.,Cancer,Recruiting,Not Applicable,2021-09-28,2022-10-28
NCT73993471,Audience able parent analysis say.,Heart Disease,Withdrawn,Phase II,2024-06-20,2025-06-14
NCT17634247,Television last him goal detail brother.,Heart Disease,Recruiting,Phase II,2024-05-26,2024-06-05
NCT19196777,Each consider able.,Heart Disease,Recruiting,Phase II,2023-01-04,2025-01-08
NCT64193837,Democratic some light human inside morning.,Cancer,Withdrawn,Phase II,2021-06-25,2025-05-08
NCT87701200,Near heavy wish later report senior drop green.,Heart Disease,Recruiting,Not Applicable,2023-12-14,2025-02-05
NCT21003626,Standard support section heart general across.,COVID-19,Withdrawn,Not Applicable,2022-07-06,2024-01-04
NCT80166708,Turn forward group officer listen treat contain lay.,Alzheimer's,Terminated,Phase II,2023-03-29,2024-09-13
NCT99889098,Out suggest evening section grow.,Asthma,Terminated,Phase II,2023-03-02,2023-04-12
NCT45650176,Sound may second view day.,COVID-19,Completed,Phase III,2023-04-16,2024-10-08
NCT71367643,Art health senior left report different together plan.,Alzheimer's,Recruiting,Phase I,2022-10-24,2024-09-15
NCT71510041,Law bad actually.,Heart Disease,Withdrawn,Phase I,2022-12-03,2023-10-05
NCT19832887,Go several source official simple poor.,Heart Disease,Completed,Not Applicable,2020-08-15,2021-02-19
NCT45594597,Tree follow fast build fill agent international value.,Diabetes,Terminated,Phase I,2021-04-29,2025-04-15
NCT42787299,Cold many south television six very.,Alzheimer's,Terminated,Phase II,2021-03-27,2024-12-26
NCT68812137,Measure tend environmental general feeling window.,Heart Disease,Terminated,Not Applicable,2020-07-31,2022-10-09
NCT97775215,Admit test fire network approach newspaper end.,Heart Disease,Recruiting,Not Applicable,2022-07-19,2022-12-27
NCT50181935,Source someone manager plan draw deep great.,Asthma,Recruiting,Phase II,2023-09-20,2024-12-15
